,channel_id,video_id,number_of_views,number_of_likes,CreatedDate,CreatedDatetime
112,UCuCkxoKLYO_EQ2GeFtbM_bw,UA6UythLlEI,2384348,86862,2022-04-30,2022-04-30 16:15:06
113,UC_SvYP0k05UKiJ_2ndB02IA,Rg3dBosfZ3Y,282664,8527,2022-04-30,2022-04-30 16:15:12
114,UC7cs8q-gJRlGwj4A8OmCmXg,xKdtP3IZbnU,6326,219,2022-04-30,2022-04-30 16:15:15
115,UCTrQ7HXWRRxr7OsOtodr2_w,m8b1y98Ffi8,15372,179,2022-04-30,2022-04-30 16:15:18
116,UCoMdktPbSTixAyNGwb-UYkQ,2kblJAvj8OE,152964,1839,2022-04-30,2022-04-30 16:15:21
117,UCupvZG-5ko_eiXAupbDfxWw,L643uai6k2w,405379,5910,2022-04-30,2022-04-30 16:15:24
118,UCqTwKvjbTENZDGbz2si47ag,-ukm0Y_VhgY,1231530,43255,2022-04-30,2022-04-30 16:15:29
119,UCfzlCWGWYyIQ0aLC5w48gBQ,q59wap1ELQ4,103570,3111,2022-04-30,2022-04-30 16:15:35
120,UCF_fDSgPpBQuh1MsUTgIARQ,yzTuBuRdAyA,1816584050,10950288,2022-05-01,2022-05-01 21:50:35
121,UCUtZaxDF3hD5VK4xRYFBePQ,oTw8AECmUNA,18747867,509203,2022-05-01,2022-05-01 21:50:40
122,UCxE5jEls-T0QtlTHT8lI1lw,x4drP6Q6p30,4076145,203501,2022-05-01,2022-05-01 21:50:43
123,UCX6OQ3DkcsbYNE6H8uQQuVA,hD1YtmKXNb4,44635524,2508200,2022-05-01,2022-05-01 21:50:46
124,UCSZwSipmufiBGjFk9q3rD-A,sPA3XIbho_A,1457698,39443,2022-05-01,2022-05-01 21:50:51
125,UCX6OQ3DkcsbYNE6H8uQQuVA,LnlKwzc_TNA,53603009,2311658,2022-05-01,2022-05-01 21:50:54
126,UCAuUUnT6oDeKwE6v1NGQxug,YRvf00NooN8,5841501,129546,2022-05-01,2022-05-01 21:50:57
127,UCbzRzJNHx7ZLlJML9BjZQVQ,b4F0YBnVdno,2723955,30045,2022-05-01,2022-05-01 21:51:02
128,UCbAwSkqJ1W_Eg7wr3cp5BUA,XKDhq2UcjIM,2020362,135932,2022-05-01,2022-05-01 21:51:05
129,UCz6PEeVLG1TL6jMRTvSLm4g,aaPorKHXem8,855918,60677,2022-05-01,2022-05-01 21:51:10
130,UC2O6HDtMOZf9FkUAepz9Atg,offDs649-mw,214714,6066,2022-05-01,2022-05-01 21:51:15
131,UC0C-w0YjGpqDXGB8IHb662A,Z_MvkyuOJgk,11618986,391402,2022-05-01,2022-05-01 21:51:19
132,UCIPPMRA040LQr5QPyJEbmXA,QO7e_RiMVQg,11053467,524045,2022-05-01,2022-05-01 21:51:22
133,UCvC4D8onUfXzvjTOM-dBfEA,tgB1wUcmbbw,35860756,1664212,2022-05-01,2022-05-01 21:51:25
134,UChmpTxQ0Gp8KEJKsqzeg9Lg,yQEondeGvKo,19212233,866184,2022-05-01,2022-05-01 21:51:28
135,UCGHZpIpAWJQ-Jy_CeCdXhMA,an0M-wcHw5A,1431297,44887,2022-05-01,2022-05-01 21:51:31
136,UCvbki_2_V6qLvezSxwo13mg,bNhGDDUnNE8,4298736,92700,2022-05-01,2022-05-01 21:51:33
137,UCJg9wBPyKMNA5sRDnvzmkdg,EUtqdkj2Mg0,1931248,22252,2022-05-01,2022-05-01 21:51:36
138,UCbOCbp5gXL8jigIBZLqMPrw,H5v3kku4y6Q,95921618,3672433,2022-05-01,2022-05-01 21:51:39
139,UComP_epzeKzvBX156r6pm1Q,X-yIEMduRXk,134862321,1122635,2022-05-01,2022-05-01 21:51:45
140,UCOhtMAg7xh8wv_wUHMgFc-Q,Tc0tLGWIqxA,57468007,1070538,2022-05-01,2022-05-01 21:51:48
141,UC9Z0p8W-IvB_2K_cAQdf7bg,4Q2YBKFDXjQ,304851,8891,2022-05-01,2022-05-01 21:51:51
142,UCuCkxoKLYO_EQ2GeFtbM_bw,UA6UythLlEI,2401277,87424,2022-05-01,2022-05-01 21:51:53
143,UC_SvYP0k05UKiJ_2ndB02IA,Rg3dBosfZ3Y,286527,8655,2022-05-01,2022-05-01 21:51:58
144,UC7cs8q-gJRlGwj4A8OmCmXg,xKdtP3IZbnU,6462,223,2022-05-01,2022-05-01 21:52:01
145,UCTrQ7HXWRRxr7OsOtodr2_w,m8b1y98Ffi8,15591,181,2022-05-01,2022-05-01 21:52:04
146,UCoMdktPbSTixAyNGwb-UYkQ,2kblJAvj8OE,153369,1841,2022-05-01,2022-05-01 21:52:07
147,UCupvZG-5ko_eiXAupbDfxWw,L643uai6k2w,421276,6121,2022-05-01,2022-05-01 21:52:10
148,UCqTwKvjbTENZDGbz2si47ag,-ukm0Y_VhgY,1271991,43835,2022-05-01,2022-05-01 21:52:15
149,UCfzlCWGWYyIQ0aLC5w48gBQ,q59wap1ELQ4,130714,3872,2022-05-01,2022-05-01 21:52:20
150,UCF_fDSgPpBQuh1MsUTgIARQ,yzTuBuRdAyA,1816801385,10951824,2022-05-02,2022-05-02 08:46:39
151,UCUtZaxDF3hD5VK4xRYFBePQ,oTw8AECmUNA,18927251,512134,2022-05-02,2022-05-02 08:46:45
152,UCxE5jEls-T0QtlTHT8lI1lw,x4drP6Q6p30,4126137,204690,2022-05-02,2022-05-02 08:46:51
153,UCX6OQ3DkcsbYNE6H8uQQuVA,hD1YtmKXNb4,44841174,2512922,2022-05-02,2022-05-02 08:46:54
154,UCSZwSipmufiBGjFk9q3rD-A,sPA3XIbho_A,1507949,40090,2022-05-02,2022-05-02 08:47:00
155,UCX6OQ3DkcsbYNE6H8uQQuVA,LnlKwzc_TNA,53702719,2313222,2022-05-02,2022-05-02 08:47:03
156,UCAuUUnT6oDeKwE6v1NGQxug,YRvf00NooN8,5931028,130648,2022-05-02,2022-05-02 08:47:06
157,UCbzRzJNHx7ZLlJML9BjZQVQ,b4F0YBnVdno,2730074,30097,2022-05-02,2022-05-02 08:47:12
158,UCbAwSkqJ1W_Eg7wr3cp5BUA,XKDhq2UcjIM,2054602,137118,2022-05-02,2022-05-02 08:47:18
159,UCz6PEeVLG1TL6jMRTvSLm4g,aaPorKHXem8,861462,60702,2022-05-02,2022-05-02 08:47:23
160,UC2O6HDtMOZf9FkUAepz9Atg,offDs649-mw,223773,6181,2022-05-02,2022-05-02 08:47:26
161,UC0C-w0YjGpqDXGB8IHb662A,Z_MvkyuOJgk,11889500,396992,2022-05-02,2022-05-02 08:47:31
162,UCIPPMRA040LQr5QPyJEbmXA,QO7e_RiMVQg,11218380,527053,2022-05-02,2022-05-02 08:47:34
163,UCvC4D8onUfXzvjTOM-dBfEA,tgB1wUcmbbw,35992293,1666199,2022-05-02,2022-05-02 08:47:37
164,UChmpTxQ0Gp8KEJKsqzeg9Lg,yQEondeGvKo,19264739,866991,2022-05-02,2022-05-02 08:47:43
165,UCGHZpIpAWJQ-Jy_CeCdXhMA,an0M-wcHw5A,1445749,45218,2022-05-02,2022-05-02 08:47:47
166,UCvbki_2_V6qLvezSxwo13mg,bNhGDDUnNE8,4374029,93848,2022-05-02,2022-05-02 08:47:52
167,UCJg9wBPyKMNA5sRDnvzmkdg,EUtqdkj2Mg0,1947698,22364,2022-05-02,2022-05-02 08:47:55
168,UCbOCbp5gXL8jigIBZLqMPrw,H5v3kku4y6Q,96946846,3689100,2022-05-02,2022-05-02 08:47:59
169,UComP_epzeKzvBX156r6pm1Q,X-yIEMduRXk,135089066,1123863,2022-05-02,2022-05-02 08:48:02
170,UCOhtMAg7xh8wv_wUHMgFc-Q,Tc0tLGWIqxA,57533399,1071039,2022-05-02,2022-05-02 08:48:06
171,UC9Z0p8W-IvB_2K_cAQdf7bg,4Q2YBKFDXjQ,315530,9100,2022-05-02,2022-05-02 08:48:08
172,UCuCkxoKLYO_EQ2GeFtbM_bw,UA6UythLlEI,2407316,87591,2022-05-02,2022-05-02 08:48:11
173,UC_SvYP0k05UKiJ_2ndB02IA,Rg3dBosfZ3Y,287655,8689,2022-05-02,2022-05-02 08:48:17
174,UC7cs8q-gJRlGwj4A8OmCmXg,xKdtP3IZbnU,6509,225,2022-05-02,2022-05-02 08:48:20
